"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses"
"121",2014,"ATL",50,14,55131673,1e+05,1.2e+07,2028772.5,8282,38,44
"122",2014,"BOS",60,11,63769609,1210080,1.2e+07,5058198,7892,25,57
"123",2014,"BRK",116,15,102608995,788872,21466718,3183000,8079,44,38
"124",2014,"CHI",73,13,85095835,1e+06,17632688,4059000,7680,48,34
"125",2014,"CHO",56,14,60819062,788872,13500000,2850960,7942,43,39
"126",2014,"CLE",30,11,47050404,1467840,9036364,4062000,8054,33,49
"127",2014,"DAL",87,14,67486257,788872,22721381,2916000,8597,49,33
"128",2014,"DEN",67,15,67324401,788872,10786517,3231683,8559,36,46
"129",2014,"DET",59,12,59157073,884293,13500000,3438398.5,8286,29,53
"130",2014,"GSW",60,13,66764126,788872,1.4e+07,2317920,8549,51,31
"131",2014,"HOU",38,16,63413126,1e+05,20513178,1226218,8829,54,28
"132",2014,"IND",47,12,55015196,788872,14283844,3141001.5,7933,56,26
"133",2014,"LAC",92,13,73103861,947907,18668431,3250000,8850,57,25
"134",2014,"LAL",90,12,76755609,788872,30453805,2366500,8442,27,55
"135",2014,"MEM",77,14,73789859,788872,17800000,3144430,7884,50,32
"136",2014,"MIA",115,14,82218984,788872,19067500,3249525,8380,54,28
"137",2014,"MIL",38,14,49175131,788872,8e+06,3151684,7829,15,67
"138",2014,"MIN",41,14,67485845,916099,14693906,4251060,8768,40,42
"139",2014,"NOP",39,13,62186089,788872,14283844,2676000,8177,34,48
"140",2014,"NYK",98,13,88890427,884293,22407474,1703760,8084,37,45
"141",2014,"OKC",73,14,71181364,1082520,17832627,2101020,8705,59,23
"142",2014,"ORL",45,17,80664910,788872,22346536,2500000,7914,23,59
"143",2014,"PHI",23,14,58945006,788872,14021788,3002950.5,8155,19,63
"144",2014,"PHO",23,17,64412586,2e+05,14487500,2626473,8629,48,34
"145",2014,"POR",58,14,61539586,788872,14128000,2948988,8753,54,28
"146",2014,"SAC",66,15,78765372,884293,17888931,4588384,8241,28,54
"147",2014,"SAS",69,14,63666028,788872,12500000,3256250,8639,62,20
"148",2014,"TOR",50,14,53076014,788872,9500000,3354720,8305,48,34
"149",2014,"UTA",38,12,54491476,1078800,11046000,3726091.5,7791,25,57
"150",2014,"WAS",54,14,64064905,916099,1.3e+07,3809460,8254,44,38
"151",2015,"ATL",74,17,58337671,29843,1.2e+07,2e+06,8409,60,22
"152",2015,"BOS",46,21,61092622,48028,10105855,2075760,8312,40,42
"153",2015,"BRK",60,16,91873492,62552,23180790,2405920,8038,38,44
"154",2015,"CHI",82,16,81244225,333333,18862875,2503980,8265,50,32
"155",2015,"CHO",72,18,75954458,53838,13666667,3511045.5,7721,33,49
"156",2015,"CLE",104,15,82038768,434547,20644400,2732000,8457,53,29
"157",2015,"DAL",112,21,83970065,25000,14700000,1310286,8628,50,32
"158",2015,"DEN",53,19,56278056,19914,11595506,1762680,8320,30,52
"159",2015,"DET",63,16,66738182,107676,1.4e+07,2886240,8077,32,50
"160",2015,"GSW",74,19,73623654,35000,15012000,1145685,9016,67,15
"161",2015,"HOU",66,22,87299371,150000,21436271,1551300,8522,56,26
"162",2015,"IND",72,15,75174324,507336,15925680,3135000,7981,38,44
"163",2015,"LAC",104,19,80901123,55774,20068563,1448490,8751,56,26
"164",2015,"LAL",76,18,70914495,44765,23500000,1199404.5,8073,21,61
"165",2015,"MEM",91,18,75341226,59686,16500000,1710560,8062,55,27
"166",2015,"MIA",80,17,82351805,50000,20644400,2732000,7764,37,45
"167",2015,"MIL",59,21,61443341,59686,1.1e+07,1873200,8023,41,41
"168",2015,"MIN",49,18,64733364,29843,12100000,2013900,8016,16,66
"169",2015,"NOP",55,19,69390028,96056,14898938,981084,8147,45,37
"170",2015,"NYK",63,20,83022165,15000,23410988,1058622,7535,17,65
