"","season","team","total_experience","num_players","total_salaries","min_salary","max_salary","median_salary","total_points","wins","losses","adjusted_salaries","adjusted_max_salary","adjusted_min_salary"
"86",2012,"SAC",35,14,48950236,473604,8500000,3000642,6518,22,44,46490294.4380777,8072841.62478114,449803.539395629
"87",2012,"SAS",60,17,73732762,38172,21164619,1463520,6841,50,16,70027401.1980801,20101013.792451,36253.7071177818
"88",2012,"TOR",70,15,55063049,830000,9780992,2500000,5986,23,43,52295914.5828898,9289458.74697074,788289.24100804
"89",2012,"UTA",59,13,56948761,544331,1.4e+07,3240000,6577,36,30,54086862.1506485,13296445.0290513,516976.229936322
"90",2012,"WAS",51,15,55386345,270427,21136631,1680360,6180,20,46,52602963.6894692,20074432.2993458,256836.981419375
"91",2013,"ATL",84,18,66768365,165487,13200000,2336763.5,8032,44,38,62497553.6190799,12355667.3549196,154901.691179059
"92",2013,"BOS",86,19,73021989,33431,16790345,1352181,7818,41,40,68351167.0968634,15716357.3935104,31292.5996471452
"93",2013,"BRK",93,16,84290205,50258,19752645,1290703,7944,49,33,78898616.2316651,18489175.0757436,47043.2674184506
"94",2013,"CHI",80,14,75627699,589769,16402500,2056405.5,7641,45,37,70790203.9137867,15353320.7415961,552044.665169967
"95",2013,"CHO",60,15,57491899,44835,12400000,3007920,7661,21,61,53814453.0035328,11606839.030379,41967.1474134712
"96",2013,"CLE",48,21,68428583,251076,14850000,2225000,7913,24,58,64051576.4482201,13900125.7742845,235016.025515438
"97",2013,"DAL",129,20,67399169,23852,20907128,1688530,8293,41,41,63088008.4971218,19569812.0389943,22326.3164961774
"98",2013,"DEN",55,16,68566062,473604,14968250,3070214.5,8704,57,25,64180261.659757,14010811.9610057,443310.112269646
"99",2013,"DET",42,14,63057497,473604,11046591,3233840,7778,29,53,59024049.7852909,10340000.2880188,443310.112269646
"100",2013,"GSW",45,13,69695346,473604,1.3e+07,4e+06,8296,47,35,65237311.4668201,12168460.2737844,443310.112269646
"101",2013,"HOU",21,23,57323787,144867,8374646,1453520,8688,45,37,53657094.2194139,7838965.16600059,135600.641114025
"102",2013,"IND",52,16,66687960,122625,13686750,2814689.5,7674,49,32,62422291.6922866,12811282.5886322,114781.341620986
"103",2013,"LAC",113,16,74354449,250000,17779458,2987500,8289,56,26,69598396.8335101,16642202.1817245,234008.851418931
"104",2013,"LAL",107,15,100451593,192228,27849149,3500000,8381,45,37,94026247.6045279,26067789.4819387,179932.213962233
"105",2013,"MEM",55,14,62954838,61290,16500000,2979038.5,7659,56,26,58927957.3265796,15444584.1936495,57369.6100138652
"106",2013,"MIA",120,16,81558311,186656,17545000,3112500,8436,66,16,76341466.723112,16422741.1925806,174716.624681808
"107",2013,"MIL",75,15,62476395,854389,1.1e+07,3524880,8108,38,44,58480117.7389819,10296389.462433,799738.354219878
"108",2013,"MIN",53,21,69001896,80413,13668750,2575000,7851,31,51,64588217.7147542,12794433.9513301,75269.4150766021
"109",2013,"NOP",35,17,63901224,44835,13700000,2323200,7714,27,55,59813808.1300154,12823685.0577574,41967.1474134712
"110",2013,"NYK",115,15,77970893,437470,19948799,2806452,8196,54,28,72983516.4601536,18672782.1647085,409487.40892096
"111",2013,"OKC",71,15,67863244,413608,16669630,2020200,8669,60,22,63522399.1280107,15603363.8795142,387151.732070726
"112",2013,"ORL",42,19,87114818,473504,20807922,1768800,7718,20,62,81542554.006997,19476951.7105389,443216.508729079
"113",2013,"PHI",70,18,84032270,89670,16889000,2909522,7640,34,48,78657179.9393021,15808701.9664573,83934.2948269423
"114",2013,"PHO",50,18,60844774,473604,7500000,2781520,7805,25,57,56952862.7143378,7020265.54256794,443310.112269646
"115",2013,"POR",33,17,73656857,550000,16359805,2338721,7995,33,49,68945426.0227939,15313356.7099508,514819.473121649
"116",2013,"SAC",54,14,54317436,762195,8083000,3125000,8219,28,54,50843043.2415253,7565974.18407689,713441.50602901
"117",2013,"SAS",69,16,69787704,145749,14107492,2680960,8448,58,24,65323761.8248175,13205111.9972871,136426.224341831
"118",2013,"TOR",57,16,66974563,181018,16460538,2959625,7971,34,48,62690562.2476594,15407646.3644707,169439.257064609
